Cliente;Vlr_EUSD;Mês_EUSD
12041;105,24;EUSD_MAI18
12099;69,50;EUSD_MAI18
12104;433,10;EUSD_MAI18
12201;0,00;EUSD_MAI18
12389;5,95;EUSD_MAI18
12539;579,05;EUSD_MAI18
12997;44,68;EUSD_MAI18
12999;0,00;EUSD_MAI18
13001;504,39;EUSD_MAI18
13010;0,00;EUSD_MAI18
13026;19,85;EUSD_MAI18
13033;230,74;EUSD_MAI18
13143;25,41;EUSD_MAI18
13144;25,02;EUSD_MAI18
13145;20,45;EUSD_MAI18
13146;16,87;EUSD_MAI18
13149;14,89;EUSD_MAI18
13150;26,21;EUSD_MAI18
13152;39,51;EUSD_MAI18
13153;14,49;EUSD_MAI18
13154;5,95;EUSD_MAI18
13155;5,95;EUSD_MAI18
13156;7,94;EUSD_MAI18
13157;43,48;EUSD_MAI18
13158;47,26;EUSD_MAI18
13162;39,71;EUSD_MAI18
13163;12,11;EUSD_MAI18
13165;34,35;EUSD_MAI18
13166;21,84;EUSD_MAI18
13167;36,53;EUSD_MAI18
13170;8,53;EUSD_MAI18
13172;50,04;EUSD_MAI18
13173;5,95;EUSD_MAI18
13174;17,47;EUSD_MAI18
13176;0,00;EUSD_MAI18
13177;14,09;EUSD_MAI18
13276;39,12;EUSD_MAI18
13346;46,66;EUSD_MAI18
13347;75,65;EUSD_MAI18
13350;24,82;EUSD_MAI18
13351;64,93;EUSD_MAI18
13353;41,70;EUSD_MAI18
13357;37,73;EUSD_MAI18
13358;35,94;EUSD_MAI18
13359;40,11;EUSD_MAI18
13360;17,67;EUSD_MAI18
13363;45,47;EUSD_MAI18
13364;45,07;EUSD_MAI18
13365;20,65;EUSD_MAI18
13366;43,29;EUSD_MAI18
13368;18,86;EUSD_MAI18
13369;125,10;EUSD_MAI18
13505;0,00;EUSD_MAI18
13649;19,85;EUSD_MAI18
13754;1480,01;EUSD_MAI18
13760;15,88;EUSD_MAI18
13862;113,19;EUSD_MAI18
13904;8,34;EUSD_MAI18
14041;5,95;EUSD_MAI18
14312;64,33;EUSD_MAI18
14351;127,28;EUSD_MAI18
14374;0,00;EUSD_MAI18
14392;61,55;EUSD_MAI18
14426;19,85;EUSD_MAI18
14431;56,99;EUSD_MAI18
14471;11,51;EUSD_MAI18
14484;43,88;EUSD_MAI18
14504;27,20;EUSD_MAI18
14521;115,17;EUSD_MAI18
14538;49,04;EUSD_MAI18
14665;46,66;EUSD_MAI18
14732;43,68;EUSD_MAI18
14740;123,11;EUSD_MAI18
14762;19,85;EUSD_MAI18
14763;35,74;EUSD_MAI18
14769;45,67;EUSD_MAI18
14817;0,00;EUSD_MAI18
14876;142,97;EUSD_MAI18
14907;0,00;EUSD_MAI18
