Cliente;Vlr_EUSD;Mês_EUSD
7195;46,58;EUSD_AGO18
7196;52,55;EUSD_AGO18
7197;45,96;EUSD_AGO18
7203;26,79;EUSD_AGO18
7204;42,66;EUSD_AGO18
7205;10,71;EUSD_AGO18
7206;6,18;EUSD_AGO18
7211;25,76;EUSD_AGO18
7212;48,43;EUSD_AGO18
7213;43,90;EUSD_AGO18
7214;31,74;EUSD_AGO18
7215;32,15;EUSD_AGO18
7216;37,71;EUSD_AGO18
7217;65,33;EUSD_AGO18
7218;27,00;EUSD_AGO18
7219;33,18;EUSD_AGO18
7255;6,18;EUSD_AGO18
7269;53,79;EUSD_AGO18
7447;43,28;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7460;66,16;EUSD_AGO18
7487;66,36;EUSD_AGO18
7587;61,00;EUSD_AGO18
7689;81,61;EUSD_AGO18
7689;81,61;EUSD_AGO18
7689;81,61;EUSD_AGO18
7689;81,61;EUSD_AGO18
7871;6,18;EUSD_AGO18
7934;6,18;EUSD_AGO18
7934;6,18;EUSD_AGO18
7981;20,61;EUSD_AGO18
8000;47,81;EUSD_AGO18
8008;54,61;EUSD_AGO18
8046;39,98;EUSD_AGO18
8047;69,66;EUSD_AGO18
8047;69,66;EUSD_AGO18
8062;32,97;EUSD_AGO18
8136;73,16;EUSD_AGO18
8141;53,58;EUSD_AGO18
8141;53,58;EUSD_AGO18
8141;53,58;EUSD_AGO18
8142;20,61;EUSD_AGO18
8148;29,06;EUSD_AGO18
8186;39,98;EUSD_AGO18
8206;15,66;EUSD_AGO18
8258;53,38;EUSD_AGO18
8310;65,74;EUSD_AGO18
8328;70,07;EUSD_AGO18
8332;6,18;EUSD_AGO18
8424;15,66;EUSD_AGO18
8450;49,87;EUSD_AGO18
8470;113,77;EUSD_AGO18
8473;16,28;EUSD_AGO18
8473;16,28;EUSD_AGO18
8473;16,28;EUSD_AGO18
8473;16,28;EUSD_AGO18
8473;16,28;EUSD_AGO18
8473;16,28;EUSD_AGO18
8490;23,08;EUSD_AGO18
8593;428,70;EUSD_AGO18
8601;10,30;EUSD_AGO18
8607;31,94;EUSD_AGO18
8724;6,18;EUSD_AGO18
8732;27,41;EUSD_AGO18
8732;27,41;EUSD_AGO18
