Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
11899;41.70;MAI_18;2018;
12041;105.24;MAI_18;2018;
12099;69.50;MAI_18;2018;
12104;433.10;MAI_18;2018;
12201;0.00;MAI_18;2018;
12389;5.95;MAI_18;2018;
12539;579.05;MAI_18;2018;
12997;44.68;MAI_18;2018;
12999;0.00;MAI_18;2018;
13001;504.39;MAI_18;2018;
13010;0.00;MAI_18;2018;
13026;19.85;MAI_18;2018;
13033;230.74;MAI_18;2018;
13143;25.41;MAI_18;2018;
13144;25.02;MAI_18;2018;
13145;20.45;MAI_18;2018;
13146;16.87;MAI_18;2018;
13149;14.89;MAI_18;2018;
13150;26.21;MAI_18;2018;
13152;39.51;MAI_18;2018;
13153;14.49;MAI_18;2018;
13154;5.95;MAI_18;2018;
13155;5.95;MAI_18;2018;
13156;7.94;MAI_18;2018;
13157;43.48;MAI_18;2018;
13158;47.26;MAI_18;2018;
13162;39.71;MAI_18;2018;
13163;12.11;MAI_18;2018;
13165;34.35;MAI_18;2018;
13166;21.84;MAI_18;2018;
13167;36.53;MAI_18;2018;
13170;8.53;MAI_18;2018;
13172;50.04;MAI_18;2018;
13173;5.95;MAI_18;2018;
13174;17.47;MAI_18;2018;
13176;0.00;MAI_18;2018;
13177;14.09;MAI_18;2018;
13276;39.12;MAI_18;2018;
13346;46.66;MAI_18;2018;
13347;75.65;MAI_18;2018;
13350;24.82;MAI_18;2018;
13351;64.93;MAI_18;2018;
13353;41.70;MAI_18;2018;
13357;37.73;MAI_18;2018;
13358;35.94;MAI_18;2018;
13359;40.11;MAI_18;2018;
13360;17.67;MAI_18;2018;
13363;45.47;MAI_18;2018;
13364;45.07;MAI_18;2018;
13365;20.65;MAI_18;2018;
13366;43.29;MAI_18;2018;
13368;18.86;MAI_18;2018;
13369;125.10;MAI_18;2018;
13505;0.00;MAI_18;2018;
13649;19.85;MAI_18;2018;
13754;1480.01;MAI_18;2018;
13760;15.88;MAI_18;2018;
13862;113.19;MAI_18;2018;
13904;8.34;MAI_18;2018;
14041;5.95;MAI_18;2018;
14312;64.33;MAI_18;2018;
14351;127.28;MAI_18;2018;
14374;0.00;MAI_18;2018;
14392;61.55;MAI_18;2018;
14426;19.85;MAI_18;2018;
14431;56.99;MAI_18;2018;
14471;11.51;MAI_18;2018;
14484;43.88;MAI_18;2018;
14504;27.20;MAI_18;2018;
14521;115.17;MAI_18;2018;
14538;49.04;MAI_18;2018;
14665;46.66;MAI_18;2018;
14732;43.68;MAI_18;2018;
14740;123.11;MAI_18;2018;
14762;19.85;MAI_18;2018;
14763;35.74;MAI_18;2018;
14769;45.67;MAI_18;2018;
14817;0.00;MAI_18;2018;
14876;142.97;MAI_18;2018;
14907;0.00;MAI_18;2018;
15021;178.72;MAI_18;2018;
15097;346.12;MAI_18;2018;
