Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
7191;36.68;AGO_18;2018;
7195;46.58;AGO_18;2018;
7196;52.55;AGO_18;2018;
7197;45.96;AGO_18;2018;
7203;26.79;AGO_18;2018;
7204;42.66;AGO_18;2018;
7205;10.71;AGO_18;2018;
7206;6.18;AGO_18;2018;
7211;25.76;AGO_18;2018;
7212;48.43;AGO_18;2018;
7213;43.90;AGO_18;2018;
7214;31.74;AGO_18;2018;
7215;32.15;AGO_18;2018;
7216;37.71;AGO_18;2018;
7217;65.33;AGO_18;2018;
7218;27.00;AGO_18;2018;
7219;33.18;AGO_18;2018;
7255;6.18;AGO_18;2018;
7269;53.79;AGO_18;2018;
7447;43.28;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7460;66.16;AGO_18;2018;
7487;66.36;AGO_18;2018;
7587;61.00;AGO_18;2018;
7689;81.61;AGO_18;2018;
7689;81.61;AGO_18;2018;
7689;81.61;AGO_18;2018;
7689;81.61;AGO_18;2018;
7871;6.18;AGO_18;2018;
7934;6.18;AGO_18;2018;
7934;6.18;AGO_18;2018;
7981;20.61;AGO_18;2018;
8000;47.81;AGO_18;2018;
8008;54.61;AGO_18;2018;
8046;39.98;AGO_18;2018;
8047;69.66;AGO_18;2018;
8047;69.66;AGO_18;2018;
8062;32.97;AGO_18;2018;
8136;73.16;AGO_18;2018;
8141;53.58;AGO_18;2018;
8141;53.58;AGO_18;2018;
8141;53.58;AGO_18;2018;
8142;20.61;AGO_18;2018;
8148;29.06;AGO_18;2018;
8186;39.98;AGO_18;2018;
8206;15.66;AGO_18;2018;
8258;53.38;AGO_18;2018;
8310;65.74;AGO_18;2018;
8328;70.07;AGO_18;2018;
8332;6.18;AGO_18;2018;
8424;15.66;AGO_18;2018;
8450;49.87;AGO_18;2018;
8470;113.77;AGO_18;2018;
8473;16.28;AGO_18;2018;
8473;16.28;AGO_18;2018;
8473;16.28;AGO_18;2018;
8473;16.28;AGO_18;2018;
8473;16.28;AGO_18;2018;
8473;16.28;AGO_18;2018;
8490;23.08;AGO_18;2018;
8593;428.70;AGO_18;2018;
8601;10.30;AGO_18;2018;
8607;31.94;AGO_18;2018;
8724;6.18;AGO_18;2018;
8732;27.41;AGO_18;2018;
8732;27.41;AGO_18;2018;
8828;43.28;AGO_18;2018;
8829;17.31;AGO_18;2018;
8842;859.27;AGO_18;2018;
8895;0.00;AGO_18;2018;
8895;0.00;AGO_18;2018;
8917;8.24;AGO_18;2018;
8992;58.53;AGO_18;2018;
8992;58.53;AGO_18;2018;
9013;10.71;AGO_18;2018;
9021;51.32;AGO_18;2018;
